CLS_NBR,Course Subject Code,PRSN_UNIV_ID,ACAD_TERM_CD,GRANT_ID
34164,CHEM,2009677780,4138,3
35092,CHEM,2002134173,4138,2
22571,CHEM,2004090216,4142,1
26027,CHEM,2008838393,4142,2
26572,CHEM,2008908496,4142,3
26573,CHEM,2001735871,4142,3
11154,CHEM,2009233056,4148,2
18121,CHEM,2006204781,4148,2
17307,CHEM,2004335276,4152,3
17308,CHEM,2002400874,4152,2
32760,CHEM,2003799056,4152,2
3740,CHEM,2008964422,4155,1
3345,CHEM,2007661958,4158,3
4276,CHEM,2008753203,4162,2
3231,CHEM,2006542266,4168,1
5462,CHEM,200648520,4172,2
1849,CHEM,2009135371,4178,3
2329,CHEM,2008761002,4182,3
1800,CHEM,2007269926,4188,2
14163,CHEM,2008418699,4148,2
19440,CHEM,2003870064,4148,3
34510,CHEM,2001257710,4148,2
34959,CHEM,200391847,4148,2
25579,CHEM,2003460398,4152,1
26880,CHEM,2008041209,4152,3
27005,CHEM,2006089892,4152,2
29411,CHEM,2004181100,4152,1
35185,CHEM,2003503878,4152,2
4068,CHEM,2005595062,4155,3
8471,CHEM,200447890,4155,3
30369,CHEM,2003775400,4158,2
30591,CHEM,200482868,4158,2
30605,CHEM,2005296501,4158,3
7110,CHEM,2001789571,4162,2
10905,CHEM,2005224230,4162,2
29676,CHEM,2004693812,4162,1
31322,CHEM,2004585295,4162,3
20503,CHEM,2002265550,4168,2
17095,CHEM,2004864013,4108,1
21725,CHEM,2002342120,4108,2
21726,CHEM,2003827099,4108,3
28187,CHEM,2005863445,4112,3
28188,CHEM,200547902,4112,2
11038,CHEM,2008155819,4118,2
13689,CHEM,20042431,4118,3
32032,CHEM,2005265171,4118,2
24061,CHEM,2001747470,4122,2
29632,CHEM,2005747247,4122,1
32886,CHEM,2009986504,4122,3
15784,CHEM,200341971,4128,2
29923,CHEM,2006727681,4128,1
17473,CHEM,2007770274,4132,2
26599,CHEM,2009517523,4132,3
27537,CHEM,2009617229,4132,3
3104,CHEM,2004019726,4138,2
29261,CHEM,2004890252,4138,2
32854,CHEM,200284301,4138,3
28370,CHEM,2008728609,4142,2
34329,CHEM,2008716208,4142,2
18022,CHEM,2001301549,4148,1
25249,CHEM,2006125757,4152,3
26700,CHEM,2001312092,4152,2
12408,CHEM,2001705397,4158,1
30593,CHEM,2003522685,4158,2
11468,CHEM,2009251633,4162,3
12612,CHEM,2002081447,4162,3
2343,CHEM,2004307946,4168,2
4645,CHEM,2006947109,4172,2
1026,CHEM,200105514,4178,3
1563,CHEM,2008686092,4182,2
14790,CHEM,200994665,4185,2
2283,CHEM,2002917798,4178,1
6431,CHEM,2002936812,4178,3
10984,CHEM,2009975787,4178,2
30750,CHEM,2007607541,4178,1
2748,CHEM,2007843097,4182,2
13561,CHEM,2009792617,4182,3
31191,CHEM,2002769103,4182,3
32147,CHEM,2008846373,4182,2
31494,CHEM,2001743026,4188,2
36453,CHEM,200239161,4188,3
36454,CHEM,2001425933,4188,2
2723,CHEM,2008054418,3938,2
1040,CHEM,20089740,3998,1
1041,CHEM,200842984,4002,3
1037,CHEM,2001518731,4008,2
1039,CHEM,2009832187,4012,1
1041,CHEM,200102273,4018,2
1043,CHEM,2004032615,4022,3
1041,CHEM,2005191990,4028,3
4294,CHEM,2004248430,4028,2
1052,CHEM,2003573715,4038,2
1048,CHEM,2006393848,4042,3
7889,CHEM,2002013165,4048,2
10760,CHEM,2008311553,4048,2
1090,CHEM,2007368594,4052,1
24247,CHEM,2002229722,4058,3
16186,CHEM,2008190032,4062,2
16187,CHEM,2006076064,4062,1
22598,CHEM,2005224479,4068,2
29099,CHEM,2005570132,4068,3
17478,CHEM,2006174918,4078,3
14156,CHEM,2006693420,4088,2
16328,CHEM,2002096632,4092,2
17098,CHEM,2005619272,4108,3
25742,CHEM,2002616845,4128,2
10013,CHEM,2006295603,4138,2
4701,CHEM,200527542,4178,1
1102,CHEM,2003377254,3756,3
1159,CHEM,2001611648,3756,2
1161,CHEM,2008624429,3756,1
1544,CHEM,2005372286,3756,2
1019,CHEM,200943035,3758,3
2032,CHEM,2005576342,3758,3
2860,CHEM,2007041836,3758,2
2865,CHEM,2005398816,3758,2
3869,CHEM,2006063840,3758,3
3989,CHEM,2002982003,3758,2
1019,CHEM,2007903889,3762,2
1123,CHEM,2003291511,3762,1
1493,CHEM,2009635173,3762,3
4018,CHEM,2007565470,3762,2
1008,CHEM,2008728189,3766,1
1518,CHEM,200245211,3766,2
1014,CHEM,200204230,3768,3
1024,CHEM,2001292892,3768,3
2033,CHEM,2009572547,3768,2
2407,CHEM,2006578045,3768,2
3999,CHEM,2009862400,3768,3
1013,CHEM,2003622837,3772,2
1019,CHEM,2003350532,3772,2
2251,CHEM,2006875032,3772,1
2904,CHEM,2002189474,3772,3
4391,CHEM,2002655670,3772,2
1007,CHEM,2007202596,3776,1
1716,CHEM,200700424,3776,2
1717,CHEM,2007937819,3776,3
2238,CHEM,2005246905,3776,3
1018,CHEM,2001058915,3778,2
1037,CHEM,2001087592,3778,2
2312,CHEM,200334105,3778,3
3461,CHEM,2004356376,3778,2
3468,CHEM,2006000409,3778,2
1040,CHEM,2001215729,3782,1
2397,CHEM,2006783742,3782,3
2818,CHEM,2005680034,3782,2
3847,CHEM,200236694,3782,1
2038,CHEM,2006343195,3798,2
2808,CHEM,2004524294,3798,3
3034,CHEM,2003005930,3798,3
1030,CHEM,2004851044,3802,2
1038,CHEM,2001820189,3802,2
1128,CHEM,2003937754,3802,3
3506,CHEM,200815205,3802,2
1004,CHEM,2002085420,3806,2
1007,CHEM,2006217163,3806,1
1009,CHEM,2007312202,3806,3
1823,CHEM,2004925492,3806,2
1906,CHEM,2008359564,3806,1
1006,CHEM,2007570616,3816,2
1037,CHEM,2003014962,3818,3
1038,CHEM,2004509564,3818,3
1117,CHEM,2001171015,3818,2
3151,CHEM,20077777,3818,2
1031,CHEM,2003476047,3822,3
1033,CHEM,2009239341,3822,2
1038,CHEM,2002485561,3822,2
3133,CHEM,2007091743,3822,1
1027,CHEM,2002291128,3828,3
5748,CHEM,2002802394,3828,2
1103,CHEM,2009293162,3832,1
1210,CHEM,2007531900,3832,2
3101,CHEM,2008103853,3832,3
5300,CHEM,2006402123,3832,3
5495,CHEM,2003680528,3832,2
5763,CHEM,2003716669,3832,2
5770,CHEM,2009025365,3832,3
1037,CHEM,2003016826,3838,2
3268,CHEM,2006676717,3838,2
4276,CHEM,2001161857,3838,1
1103,CHEM,2001655613,3912,3
1034,CHEM,200732954,3918,2
2668,CJUS,2005928348,3928,1
4039,CJUS,2005398556,3928,2
2058,CJUS,2004752901,3932,3
3165,CSCI,2003882843,3942,3
3251,CSCI,2003407528,3948,2
4613,ECON,2005790815,3948,2
1033,FRIT,2006262621,3952,3
3232,FRIT,2008337067,3952,2
2540,SPH,2001049508,3958,2
3064,INFO,2009800289,3958,1
2302,COLL,2004441020,3962,3
3015,COLL,2003703530,3968,2
3037,COLL,200331876,3968,1
4501,COLL,2006896256,3968,2
3219,COLL,2008480762,3992,3
13306,COLL,2002385783,4158,3
30360,COLL,2009231289,4158,2
30369,COLL,200120388,4158,2
29675,COLL,2006797521,4162,3
29676,COLL,2006204870,4162,2
31322,COLL,2006007067,4162,2
32846,COLL,2006157977,4162,1
35575,COLL,200219400,4162,3
6404,COLL,2001679936,4168,2
11023,COLL,2002652770,4168,1
32147,COLL,2002820951,4168,2
8138,COLL,2005938203,4172,3
12317,COLL,2009189041,4172,3
13292,COLL,2006018386,4175,2
3848,COLL,2006171693,4158,2
